filename,filepath,format,resolution,source,colour_mode,compression,channels,capture_device,file_size,label
easy_143_0011.jpg,dataset/training_fake/easy_143_0011.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,130754,0
mid_329_1110.jpg,dataset/training_fake/mid_329_1110.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,59705,0
mid_257_1111.jpg,dataset/training_fake/mid_257_1111.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,104408,0
mid_40_1111.jpg,dataset/training_fake/mid_40_1111.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,108948,0
mid_41_1111.jpg,dataset/training_fake/mid_41_1111.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,146957,0
hard_91_1100.jpg,dataset/training_fake/hard_91_1100.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,312233,0
hard_90_1100.jpg,dataset/training_fake/hard_90_1100.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,306863,0
mid_9_1110.jpg,dataset/training_fake/mid_9_1110.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,115647,0
mid_272_1010.jpg,dataset/training_fake/mid_272_1010.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,54030,0
mid_139_1111.jpg,dataset/training_fake/mid_139_1111.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,94294,0
easy_167_0110.jpg,dataset/training_fake/easy_167_0110.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,96218,0
easy_76_1111.jpg,dataset/training_fake/easy_76_1111.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,92927,0
easy_212_0010.jpg,dataset/training_fake/easy_212_0010.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,134904,0
hard_169_0111.jpg,dataset/training_fake/hard_169_0111.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,55541,0
easy_198_0011.jpg,dataset/training_fake/easy_198_0011.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,104942,0
mid_290_1100.jpg,dataset/training_fake/mid_290_1100.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,73349,0
mid_316_1111.jpg,dataset/training_fake/mid_316_1111.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,52260,0
mid_170_1111.jpg,dataset/training_fake/mid_170_1111.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,119165,0
mid_291_1100.jpg,dataset/training_fake/mid_291_1100.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,58626,0
easy_23_1100.jpg,dataset/training_fake/easy_23_1100.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,128342,0
mid_424_1111.jpg,dataset/training_fake/mid_424_1111.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,116376,0
hard_185_1100.jpg,dataset/training_fake/hard_185_1100.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,58484,0
mid_425_1111.jpg,dataset/training_fake/mid_425_1111.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,102038,0
mid_414_0011.jpg,dataset/training_fake/mid_414_0011.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,66304,0
hard_161_1100.jpg,dataset/training_fake/hard_161_1100.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,87191,0
mid_195_1111.jpg,dataset/training_fake/mid_195_1111.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,117309,0
mid_275_1100.jpg,dataset/training_fake/mid_275_1100.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,80828,0
mid_274_1100.jpg,dataset/training_fake/mid_274_1100.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,62477,0
mid_194_1111.jpg,dataset/training_fake/mid_194_1111.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,127907,0
hard_20_1111.jpg,dataset/training_fake/hard_20_1111.jpg,JPEG,600 x 600,dataset,RGB,unknown,3,unknown,98351,0
